Bought Condition,Colour,Current Condition,Drivetrain,Engine Size,Horse Power,Make,Mileage,Model,Number of Cylinders,Registered city,Seats,Selling Condition,Trim,Year of manufacture,detail_url,State,City,name,price
Imported,White,Local Used,,3000,,Mercedes-Benz,84710,GLC-Class,4,,,Registered,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",2016,/jEY4wdZdyGtiutG0Sot3As37f2vwu5A?lid=kypCYA_datBePLGs,Lagos State, Ikoyi,Mercedes-Benz GLC-Class 2016 White,"26,250,000"
Imported,Black,Foreign Used,,3500,,Lexus,79306,RX 350,,,,Imported,,2019,/jEY4wdZf53S8JYkpei9QODcPspDxtUg?lid=kypCYA_datBePLGs,Lagos State, Lekki,Lexus RX 350 2019 Black,"33,600,000"
Imported,White,Local Used,,2000,,BMW,508973,528i,,Lagos,,Registered,,2012,/jEY4wdZAjGjZQ1l3BwE5E2fG1sEvu33?lid=kypCYA_datBePLGs,Lagos State, Lekki,BMW 528i 2012 White,"9,450,000"
Imported,White,Local Used,,2400,,Honda,78508,Accord,,Lagos,,Registered,,2016,/jEY4wdZcEbhaTOlfuWnwT6j0gC1MCNE?lid=kypCYA_datBePLGs,Lagos State, Yaba,Honda Accord 2016 White,"10,185,000"
Imported,Black,Local Used,Front Wheel,3500,268,Toyota,483823,Avalon,6,,5,Registered,Limited,2006,/jEY4wdZh8nDiFB35paFcHCpVV2s5Mgw?lid=kypCYA_datBePLGs,Lagos State, Lekki,Toyota Avalon Limited 2006 Black,"3,989,998"
Registered,Black,Local Used,,2300,,Acura,213888,RDX,,Lagos,,Registered,,2008,/jEY4wdZXrkpgSNX05GH4FXR8xuHUyDj?lid=kypCYA_datBePLGs,Lagos State, Ilupeju,Acura RDX 2008 Black,"4,725,000"
Imported,Gray,Local Used,,2400,,Hyundai,181805,Sonata,,Lagos,,Registered,,2016,/jEY4wdZ9zAI1iKBUmb6h1PK0x7Ezis1?lid=kypCYA_datBePLGs,Lagos State, Lekki,Hyundai Sonata 2016 Gray,"10,040,625"
Imported,Blue,Foreign Used,,1500,,Dongfeng,151,Nammi 01,,,,Imported,,2025,/jEY4wdZfkLzuLrwrj8T5mCuTjReuUEd?lid=kypCYA_datBePLGs,Lagos State, Lekki,Dongfeng Nammi 01 2025 Blue,"39,900,000"
Imported,Gray,Local Used,,3500,,Honda,169930,Pilot,,,,Registered,,2009,/jEY4wdZjd4PEJYkogZYxwbte1zjqmzj?lid=kypCYA_datBePLGs,Lagos State, Lekki,Honda Pilot 2009 Gray,"6,426,000"
Imported,Black,Local Used,,2000,,Audi,62213,A6,,Lagos,,Registered,,2015,/jEY4wdZyK0pYfBvC6VH959VHS7IqmNj?lid=kypCYA_datBePLGs,Lagos State, Lekki,Audi A6 2015 Black,"12,600,000"
Imported,Silver,Local Used,,1600,,JAC,128381,S2,,Lagos,,Registered,,2018,/jEY4wdZtIm4nFsgF6UIbX9dj5lndafv?lid=kypCYA_datBePLGs,Lagos State, Ikeja,JAC S2 2018 Silver,"7,875,000"
Registered,Gray,Local Used,,3000,,Mercedes-Benz,324994,C300,,,,Registered,,2008,/jEY4we005yVsmdnzt6CB2fNsyfS2Sod?lid=kypCYA_datBePLGs,Lagos State, Ikeja,Mercedes-Benz C300 2008 Gray,"6,403,687"
Registered,Silver,Local Used,Front Wheel,3800,160,Honda,203902,Odyssey,4,Lagos,7,Registered,2.4 2WD,2005,/jEY4wdZARgostyBUFJ7gwFMEvtUVaON?lid=kypCYA_datBePLGs,Lagos State, Ikorodu,Honda Odyssey 2.4 2WD 2005 Silver,"3,885,000"
Registered,Black,Local Used,,2000,,Hyundai,118033,Sonata,4,,,Registered,Limited 2.0T Sedan (2.0L 4cyl 6A),2011,/jEY4wdZU29ndvlCCaa9oLZUZmJy8bX5?lid=kypCYA_datBePLGs,Lagos State, Ikorodu,Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2011 Black,"6,849,937"
Registered,Gray,Local Used,Front,1800,132,Toyota,213313,Corolla,4,,5,Registered,XLE 4dr Sedan (1.8L 4cyl 4A),2009,/jEY4wdZvtvwxYZnawLSCAOBMhLY67Xk?lid=eZLWqvjJYWRPoloH,Imo State, Owerri,Toyota Corolla XLE 4dr Sedan (1.8L 4cyl 4A) 2009 Gray,"4,725,000"
Imported,Black,Local Used,,3500,,Toyota,274941,Avalon,,Lagos,,Registered,,2006,/jEY4wdZwOKGr5gWmtRbZsElT8AV730r?lid=eZLWqvjJYWRPoloH,Lagos State, Yaba,Toyota Avalon 2006 Black,"3,990,000"
Registered,Gray,Local Used,,,,Toyota,150629,Venza,,Lagos,,Registered,,2010,/jEY4wdZ9g21erY4DXqNSDOcOF7BxkDo?lid=eZLWqvjJYWRPoloH,Lagos State, Abule Egba,Toyota Venza 2010 Gray,"11,025,000"
Registered,Silver,Local Used,Front Wheel,3800,160,Honda,203902,Odyssey,4,Lagos,7,Registered,2.4 2WD,2005,/jEY4wdZARgostyBUFJ7gwFMEvtUVaON?lid=eZLWqvjJYWRPoloH,Lagos State, Ikorodu,Honda Odyssey 2.4 2WD 2005 Silver,"3,885,000"
Imported,Blue,Local Used,,2400,,Honda,149020,Accord,,,,Registered,,2013,/jEY4wdZPdldR69XmGjEfh1JCMzdjvOl?lid=eZLWqvjJYWRPoloH,Lagos State, Surulere,Honda Accord 2013 Blue,"8,925,000"
Registered,Gold,Local Used,,4000,,Toyota,157900,4-Runner,,,,Registered,,2008,/jEY4wdZOyY9MSPUA2ZmwbghZmiXTTv7?lid=eZLWqvjJYWRPoloH,Lagos State, Surulere,Toyota 4-Runner 2008 Gold,"7,800,000"
Registered,Gray,Local Used,,2500,,Toyota,185231,RAV4,,,,Registered,,2010,/jEY4wdZJJMzP5QTdXwswRP6I3wunJhN?lid=eZLWqvjJYWRPoloH,Lagos State, Ikorodu,Toyota RAV4 2010 Gray,"6,825,000"
Registered,Blue,Local Used,,2500,,Nissan,41761,Altima,,Lagos,,Registered,,2008,/jEY4wdZHCd08iCheOVEu4IQiMrkcKrB?lid=eZLWqvjJYWRPoloH,Lagos State, Ilupeju,Nissan Altima 2008 Blue,"3,570,000"
Imported,Gold,Foreign Used,,3500,,Lexus,202739,RX 350,,,,Imported,,2011,/jEY4we01dRQ3vp3V8qyQ6igyqEWhUBp?lid=eZLWqvjJYWRPoloH,Lagos State, Magodo,Lexus RX 350 2011 Gold,"15,434,998"
Registered,Black,Local Used,,5500,,Mercedes-Benz,29705,GL-Class,,Lagos,,Registered,,2008,/jEY4wdZM46VUADrVbdQ4rbMnM8iE8cA?lid=eZLWqvjJYWRPoloH,Lagos State, Ikotun/Igando,Mercedes-Benz GL-Class 2008 Black,"5,985,000"
Imported,Gray,Local Used,,2400,,Toyota,80179,RAV4,,,,Registered,,2020,/jEY4wdZBC8Wk9qeqqaGocJaVw4QQTTR?lid=eZLWqvjJYWRPoloH,Lagos State, Ikoyi,Toyota RAV4 2020 Gray,"26,250,000"
Imported,Silver,Local Used,,3500,,Toyota,228369,Tacoma,,Abuja,,Registered,,2004,/jEY4wdZtgZptVTyZt30RWJL5q3wBllC?lid=eZLWqvjJYWRPoloH,Lagos State, Abule Egba,Toyota Tacoma 2004 Silver,"5,775,000"
Registered,Silver,Local Used,,1800,,Toyota,203650,Corolla,,Edo,,Registered,,2007,/jEY4wdZmPqIXJ9jnDSPgBYmArCswQ3P?lid=eZLWqvjJYWRPoloH,Edo State, Benin City,Toyota Corolla 2007 Silver,"4,935,000"
Imported,Black,Foreign Used,,4800,,BMW,415177,550i,,,,Imported,,2009,/jEY4wdZQEvfAwhxK9ygmpINIuaK1Pjl?lid=eZLWqvjJYWRPoloH,Lagos State, Lekki,BMW 550i 2009 Black,"8,400,000"
Registered,Red,Local Used,,1800,,Nissan,173574,Sentra,,Oyo,,Registered,,2013,/jEY4wdZg7WMtd2tJKlYxyHNEq4brXo1?lid=eZLWqvjJYWRPoloH,Lagos State, Ogudu,Nissan Sentra 2013 Red,"4,889,850"
Imported,Silver,Local Used,,3500,,Ford,252232,Edge,,,,Registered,,2011,/jEY4wdZyR23GReMX2WyrHl1FVzTsSVA?lid=bk_5V6C7W3rQSsxH,Lagos State, Ojodu,Ford Edge 2011 Silver,"5,586,000"
Registered,Black,Local Used,,3300,,Lexus,,RX,,Lagos,,Registered,,2004,/jEY4wdZnyeVMEG5Xv5iHXEqs0Rb34MK?lid=bk_5V6C7W3rQSsxH,Lagos State, Alimosho,Lexus RX 2004 Black,"6,720,000"
Registered,Silver,Local Used,,2400,,Toyota,209885,Camry,,,,Registered,,2007,/jEY4wdZBvH2QlBAaBU8ZikOXvAsegYJ?lid=bk_5V6C7W3rQSsxH,Lagos State, Ojodu,Toyota Camry 2007 Silver,"4,935,000"
Imported,Silver,Local Used,,2500,,Toyota,288427,Camry,,,,Registered,,2012,/jEY4wdZW8Zlw2RqqwGZmglZPvrYVynL?lid=bk_5V6C7W3rQSsxH,Lagos State, Ajah,Toyota Camry 2012 Silver,"9,240,000"
Imported,Gold,Local Used,,3600,,Buick,,Enclave,,Lagos,,Registered,,2008,/jEY4wdZWKECLhwJzH6QUTgHlmJo7xs5?lid=bk_5V6C7W3rQSsxH,Ogun State, Abeokuta North,Buick Enclave 2008 Gold,"5,775,000"
Registered,Silver,Local Used,,4000,,Toyota,347387,4-Runner,,,,Registered,,2005,/jEY4wdZHWEdY9XaRm6gu8sEmq8Fw0r8?lid=bk_5V6C7W3rQSsxH,Delta State, Oshimili South,Toyota 4-Runner 2005 Silver,"3,570,000"
Registered,Brown,Local Used,,1800,,Hyundai,121589,Elantra,,Abuja,,Registered,,2011,/jEY4wdZXluXAesHovuZrceSna8ez2Y1?lid=bk_5V6C7W3rQSsxH,Oyo State, Ibadan,Hyundai Elantra 2011 Brown,"7,800,000"
Brand new,Silver,Local Used,,1400,,Toyota,186265,Corolla,,Lagos,,Registered,,2008,/jEY4wdZlYh0Gur6VTi4AjbDiOBgiiJB?lid=bk_5V6C7W3rQSsxH,Lagos State, Ajah,Toyota Corolla 2008 Silver,"5,775,000"
Registered,Black,Local Used,,,,Honda,133267,Accord,,Abia,,Registered,,2008,/jEY4we00GPi41pSOdnfbRDlqHs7zgiM?lid=bk_5V6C7W3rQSsxH,Imo State, Owerri,Honda Accord 2008 Black,"4,284,000"
Imported,Red,Local Used,,2500,,Land Rover,46839,Range Rover Velar,,,,Registered,P250 HSE R-Dynamic 4x4,2018,/jEY4wdZQKQa5CiGD1dvJJXrJqeD6kEl?lid=bk_5V6C7W3rQSsxH,Lagos State, Lekki,Land Rover Range Rover Velar P250 HSE R-Dynamic 4x4 2018 Red,"36,750,000"
Imported,Silver,Local Used,,4000,,Toyota,280874,Tacoma,,,,Registered,,2005,/jEY4wdZQpC4oeXH3uxOfFNsn6BipHZ8?lid=bk_5V6C7W3rQSsxH,Delta State, Oshimili South,Toyota Tacoma 2005 Silver,"8,925,000"
Imported,Gray,Local Used,,2400,,Toyota,95480,Camry,,,,Registered,,2018,/jEY4wdZCjXdxn3alNUEk9DoXzS9ehZN?lid=bk_5V6C7W3rQSsxH,Lagos State, Lekki,Toyota Camry 2018 Gray,"16,169,998"
Registered,Black,Local Used,,2500,,Toyota,281871,Camry,,,,Registered,,2012,/jlCs49PD34vLlYR83McR4noFZu4M5j?lid=bk_5V6C7W3rQSsxH,Abuja (FCT), Garki 2,Toyota Camry 2012 Black,"9,450,000"
Registered,Blue,Local Used,,3500,,Toyota,240081,Avalon,,Lagos,,Registered,,2006,/jEY4wdZkOVTcLTmAo0igWs4DpV0Fakl?lid=bk_5V6C7W3rQSsxH,Lagos State, Alimosho,Toyota Avalon 2006 Blue,"3,885,000"
Imported,Black,Local Used,,2500,,Lexus,250812,IS,,,,Registered,,2006,/jEY4wdZoglzHhwxM7O1NAPEBbFqyZJg?lid=bk_5V6C7W3rQSsxH,Lagos State, Lekki,Lexus IS 2006 Black,"6,888,000"
Registered,Black,Local Used,,2400,,Toyota,135571,Camry,,Lagos,,Registered,,2008,/jEY4wdZz4cAzG9XNFvG84Fj2IJkWITb?lid=1-QPhFrnEKXTl1iN,Lagos State, Alimosho,Toyota Camry 2008 Black,"7,280,000"
Registered,Black,Local Used,,4000,,Toyota,96509,4-Runner,,Abuja,,Registered,,2003,/jEY4wdZnYZrbEFyiW1VG2FHktmqF97h?lid=1-QPhFrnEKXTl1iN,Abuja (FCT), Lugbe District,Toyota 4-Runner 2003 Black,"4,114,950"
Imported,Red,Local Used,,2000,,Jeep,156117,Patriot,,Lagos,,Registered,,2015,/jEY4wdZnpaUXZK0dG8sq91JXk9S9PPA?lid=1-QPhFrnEKXTl1iN,Lagos State, Ikeja,Jeep Patriot 2015 Red,"5,250,000"
Imported,Gold,Local Used,,3500,,Toyota,202349,Sienna,,Niger,,Registered,,2007,/jEY4wdZI33M7rM5LhToG09rUYr4nRsu?lid=1-QPhFrnEKXTl1iN,Abuja (FCT), Gwarinpa,Toyota Sienna 2007 Gold,"5,880,000"
Imported,Gray,Local Used,,3500,,Toyota,185149,Camry,,,,Registered,,2009,/jEY4wdZMgOBCITGmzhg8vntghMpTC7w?lid=1-QPhFrnEKXTl1iN,Lagos State, Ikeja,Toyota Camry 2009 Gray,"6,069,000"
Imported,Gray,Local Used,,3500,,Toyota,353073,RAV4,,,,Registered,,2006,/jEY4wdZQA6xl1mDbjOCLyDeBH6G79wl?lid=1-QPhFrnEKXTl1iN,Lagos State, Ajah,Toyota RAV4 2006 Gray,"7,280,000"
Imported,Red,Local Used,,3500,,Ford,221807,Explorer,,,,Registered,,2013,/jEY4wdZorPSFKME0cMTr10x0rSBE1kf?lid=1-QPhFrnEKXTl1iN,Lagos State, Kosofe,Ford Explorer 2013 Red,"9,672,000"
Registered,Silver,Local Used,,3500,,Ford,305185,Edge,,,,Registered,,2012,/jEY4wdZHJNSDYEkoUGgUuz5I28rC3z7?lid=1-QPhFrnEKXTl1iN,Abuja (FCT), Kubwa,Ford Edge 2012 Silver,"6,435,450"
Imported,Black,Local Used,,2400,,Toyota,382749,Venza,,Lagos,,Registered,,2010,/jEY4wdZZ0NIXWKjdnCXTqYQVRN1Fvaz?lid=1-QPhFrnEKXTl1iN,Lagos State, Surulere,Toyota Venza 2010 Black,"11,287,500"
Registered,Black,Local Used,,1800,,Toyota,158715,Corolla,,Abuja,,Registered,,2014,/jEY4wdZU8lRK7xO5Q6dtZCSAKw8DUZI?lid=1-QPhFrnEKXTl1iN,Abuja (FCT), Lugbe District,Toyota Corolla 2014 Black,"7,875,000"
Registered,Black,Local Used,,3500,,Mercedes-Benz,179393,C300,,Lagos,,Registered,,2013,/jEY4wdZFnlCAynLyRQ6v4uDCsjx7z1P?lid=1-QPhFrnEKXTl1iN,Lagos State, Yaba,Mercedes-Benz C300 2013 Black,"9,817,500"
Imported,Green,Local Used,Front,2500,169,Toyota,365745,Camry,4,,5,Registered,LE 4dr Sedan (2.5L 4cyl 6AM),2010,/jEY4we00liNs1HnryGHRYebLQGtIYzA?lid=1-QPhFrnEKXTl1iN,Lagos State, Lekki,Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Green,"6,300,000"
Imported,Purple,Local Used,,3500,,Ford,202056,Edge,,Lagos,,Registered,,2011,/jEY4wdZFD71GRYTjYhIeplcMjiB1zX8?lid=1-QPhFrnEKXTl1iN,Lagos State, Alimosho,Ford Edge 2011 Purple,"5,544,000"
Imported,Black,Local Used,,2400,,Hyundai,87963,Santa Fe,,,,Registered,,2014,/jEY4wdZBWy3drgLhwg6Lua8VM70DIfd?lid=1-QPhFrnEKXTl1iN,Lagos State, Lekki,Hyundai Santa Fe 2014 Black,"11,870,250"
Registered,Gray,Local Used,,2400,,Toyota,185231,Previa,,Lagos,,Registered,,1996,/jEY4wdZI7Nu4nfNI0au7sDT917MNBUC?lid=1-QPhFrnEKXTl1iN,Lagos State, Ikorodu,Toyota Previa 1996 Gray,"6,300,000"
Registered,Black,Local Used,,3500,,Toyota,207633,RAV4,,Anambara,,Registered,,2007,/jEY4wdZxMOXJpWpwY8CEqIhyqwjXXCD?lid=IIGbonfigmPydp2N,Abia State, Aba North,Toyota RAV4 2007 Black,"5,250,000"
Registered,Black,Local Used,,2400,,Toyota,221832,Camry,,Lagos,,Registered,,2005,/jEY4wdZEQ5MNiNwUKjHgWiMU36wOhLc?lid=IIGbonfigmPydp2N,Lagos State, Ogudu,Toyota Camry 2005 Black,"4,305,000"
Imported,Black,Foreign Used,,2000,,Honda,52500,Civic,,,,Imported,,2016,/jEY4wdZU8nugc3DDvhKedBmUrVyEUDY?lid=IIGbonfigmPydp2N,Abuja (FCT), Wuse,Honda Civic 2016 Black,"16,800,000"
Imported,Silver,Local Used,,2400,,Toyota,123555,Camry,,Lagos,,Registered,,2008,/jEY4wdZeTNlL3Jx4CJVaFf4ld0YVxfq?lid=IIGbonfigmPydp2N,Lagos State, Ajah,Toyota Camry 2008 Silver,"4,830,000"
Imported,Black,Local Used,,2400,,Toyota,248144,Camry,,,,Registered,,2005,/jEY4wdZVPLtwQNSo5bEnpO93y7Wci4t?lid=IIGbonfigmPydp2N,Lagos State, Surulere,Toyota Camry 2005 Black,"4,074,000"
Registered,Gray,Local Used,,2500,,Volkswagen,195055,Jetta,,,,Registered,,2006,/jEY4wdZU7GbhH3BnA3izJuVlo9QnImF?lid=IIGbonfigmPydp2N,Lagos State, Isolo,Volkswagen Jetta 2006 Gray,"5,250,000"
Registered,Black,Local Used,,3500,,Toyota,145093,Avalon,,Enugu,,Registered,,2014,/jEY4wdZMu77gCFGOC0p7dgDKAtrsRLc?lid=IIGbonfigmPydp2N,Enugu State, Enugu,Toyota Avalon 2014 Black,"11,025,000"
Registered,Blue,Local Used,,2400,,Toyota,116057,Camry,,Ekiti,,Registered,,2007,/jEY4wdZN77KdP5o1m78VqDElF95OHEu?lid=IIGbonfigmPydp2N,Ondo State, Akure,Toyota Camry 2007 Blue,"5,565,000"
Registered,Green,Local Used,,2400,,Toyota,288073,Camry,,Imo,,Registered,,2007,/jEY4wdZdphRQEm29HukddzaMGShUU60?lid=IIGbonfigmPydp2N,Abuja (FCT), Jabi,Toyota Camry 2007 Green,"4,924,500"
Imported,Black,Local Used,,3500,,Mercedes-Benz,258723,M Class,,Abuja,,Registered,,2014,/jEY4wdZqkiJDelFvF0lX9IlHjeW4nHn?lid=IIGbonfigmPydp2N,Delta State, Warri,Mercedes-Benz M Class 2014 Black,"17,850,000"
